zip,member,piece_name,block,record_idx,record_kind,n_points,point_idx,a,b,c,e,x,y,in_real,nearest_perim_units,nearest_perim_in,nearest_perim_mm,nearest_dxf14_in,block_check_line_table
CAP-C20-RULE-DISTINCT\CAP-C20-RULE-DISTINCT.zip,a237D.tmp,CAP-C20-RULE-DISTINCT,1,5,2,2,0,-1,1,0,0,-358372,60191,1,29580.0,2.9580,75.13,,1
CAP-C20-RULE-DISTINCT\CAP-C20-RULE-DISTINCT.zip,a237D.tmp,CAP-C20-RULE-DISTINCT,1,5,2,2,1,-1,1,0,0,-299211,60191,1,29581.0,2.9581,75.14,,1
CAP-C21-RULE-TWO\CAP-C21-RULE-TWO.zip,aEB73.tmp,CAP-C21-RULE-TWO,0,5,2,2,0,-1,1,0,0,29581,39343,1,29580.0,2.9580,75.13,,1
CAP-C21-RULE-TWO\CAP-C21-RULE-TWO.zip,aEB73.tmp,CAP-C21-RULE-TWO,0,5,2,2,1,-1,1,0,0,88742,39343,1,29581.0,2.9581,75.14,,1
CAP-C21-RULE-TWO\CAP-C21-RULE-TWO.zip,aEB73.tmp,CAP-C21-RULE-TWO,1,5,2,2,0,-1,1,0,0,-358372,60191,1,29580.0,2.9580,75.13,,1
CAP-C21-RULE-TWO\CAP-C21-RULE-TWO.zip,aEB73.tmp,CAP-C21-RULE-TWO,1,5,2,2,1,-1,1,0,0,-299211,60191,1,29581.0,2.9581,75.14,,1
CAP-C22-RULE-NONE\CAP-C22-RULE-NONE.zip,a73D9.tmp,CAP-C22-RULE-NONE,0,5,2,2,0,-1,1,0,0,29581,39343,1,29580.0,2.9580,75.13,,1
CAP-C22-RULE-NONE\CAP-C22-RULE-NONE.zip,a73D9.tmp,CAP-C22-RULE-NONE,0,5,2,2,1,-1,1,0,0,88742,39343,1,29581.0,2.9581,75.14,,1
CAP-C22-RULE-NONE\CAP-C22-RULE-NONE.zip,a73D9.tmp,CAP-C22-RULE-NONE,1,5,2,2,0,-1,1,0,0,29581,39343,1,29580.0,2.9580,75.13,,1
CAP-C22-RULE-NONE\CAP-C22-RULE-NONE.zip,a73D9.tmp,CAP-C22-RULE-NONE,1,5,2,2,1,-1,1,0,0,88742,39343,1,29581.0,2.9581,75.14,,1
CAP-C30-SEAM-UNEVEN\CAP-C30-SEAM-UNEVEN.zip,a7F2E.tmp,CAP-C30-SEAM-UNEVEN,0,5,2,2,0,-1,1,0,0,33448,39408,1,29510.0,2.9510,74.96,2.9510,0
CAP-C30-SEAM-UNEVEN\CAP-C30-SEAM-UNEVEN.zip,a7F2E.tmp,CAP-C30-SEAM-UNEVEN,0,5,2,2,1,-1,1,0,0,92467,39408,1,29510.0,2.9510,74.96,2.9510,0
CAP-C30-SEAM-UNEVEN\CAP-C30-SEAM-UNEVEN.zip,a7F2E.tmp,CAP-C30-SEAM-UNEVEN,0,6,2,3,0,1,1,0,1,3938,1,1,0.0,0.0000,0.00,0.0000,0
CAP-C30-SEAM-UNEVEN\CAP-C30-SEAM-UNEVEN.zip,a7F2E.tmp,CAP-C30-SEAM-UNEVEN,0,6,2,3,1,2,1,0,1,4,78749,0,3934.0,0.3934,9.99,0.3934,0
CAP-C30-SEAM-UNEVEN\CAP-C30-SEAM-UNEVEN.zip,a7F2E.tmp,CAP-C30-SEAM-UNEVEN,0,6,2,3,2,2,1,0,1,1,78815,0,3937.0,0.3937,10.00,0.3937,0
CAP-C30-SEAM-UNEVEN\CAP-C30-SEAM-UNEVEN.zip,a7F2E.tmp,CAP-C30-SEAM-UNEVEN,0,7,2,3,0,2,1,0,1,4,78749,0,3934.0,0.3934,9.99,0.3934,0
CAP-C30-SEAM-UNEVEN\CAP-C30-SEAM-UNEVEN.zip,a7F2E.tmp,CAP-C30-SEAM-UNEVEN,0,7,2,3,1,2,1,0,1,3938,78815,1,0.0,0.0000,0.00,0.0000,0
CAP-C30-SEAM-UNEVEN\CAP-C30-SEAM-UNEVEN.zip,a7F2E.tmp,CAP-C30-SEAM-UNEVEN,0,7,2,3,2,3,1,0,1,121952,80783,0,1968.0,0.1968,5.00,0.1968,0
CAP-C30-SEAM-UNEVEN\CAP-C30-SEAM-UNEVEN.zip,a7F2E.tmp,CAP-C30-SEAM-UNEVEN,0,8,2,3,0,3,1,0,1,121952,80783,0,1968.0,0.1968,5.00,0.1968,0
CAP-C30-SEAM-UNEVEN\CAP-C30-SEAM-UNEVEN.zip,a7F2E.tmp,CAP-C30-SEAM-UNEVEN,0,8,2,3,1,3,1,0,1,121977,78815,1,0.0,0.0000,0.00,0.0000,0
CAP-C30-SEAM-UNEVEN\CAP-C30-SEAM-UNEVEN.zip,a7F2E.tmp,CAP-C30-SEAM-UNEVEN,0,8,2,3,2,4,1,0,1,122961,1,0,984.0,0.0984,2.50,0.0984,0
CAP-C30-SEAM-UNEVEN\CAP-C30-SEAM-UNEVEN.zip,a7F2E.tmp,CAP-C30-SEAM-UNEVEN,1,5,2,2,0,-1,1,0,0,-64170,247399,1,29510.0,2.9510,74.96,2.9510,1
CAP-C30-SEAM-UNEVEN\CAP-C30-SEAM-UNEVEN.zip,a7F2E.tmp,CAP-C30-SEAM-UNEVEN,1,5,2,2,1,-1,1,0,0,-5151,247399,1,29510.0,2.9510,74.96,2.9510,1
CAP-C31-SEAM-TAPER\CAP-C31-SEAM-TAPER.zip,a80B6.tmp,CAP-C31-SEAM-TAPER,0,5,2,2,0,-1,1,0,0,31549,39343,1,29580.0,2.9580,75.13,2.9580,0
CAP-C31-SEAM-TAPER\CAP-C31-SEAM-TAPER.zip,a80B6.tmp,CAP-C31-SEAM-TAPER,0,5,2,2,1,-1,1,0,0,90710,39343,1,29581.0,2.9581,75.14,3.9342,0
CAP-C31-SEAM-TAPER\CAP-C31-SEAM-TAPER.zip,a80B6.tmp,CAP-C31-SEAM-TAPER,0,6,2,2,0,1,1,0,1,1969,1,1,0.0,0.0000,0.00,0.0000,0
CAP-C31-SEAM-TAPER\CAP-C31-SEAM-TAPER.zip,a80B6.tmp,CAP-C31-SEAM-TAPER,0,6,2,2,1,2,1,0,1,1,78669,0,1968.0,0.1968,5.00,0.1968,0
CAP-C31-SEAM-TAPER\CAP-C31-SEAM-TAPER.zip,a80B6.tmp,CAP-C31-SEAM-TAPER,0,7,2,3,0,2,1,0,1,1,78669,0,1968.0,0.1968,5.00,0.1968,0
CAP-C31-SEAM-TAPER\CAP-C31-SEAM-TAPER.zip,a80B6.tmp,CAP-C31-SEAM-TAPER,0,7,2,3,1,2,1,0,1,1969,78685,1,0.0,0.0000,0.00,0.0000,0
CAP-C31-SEAM-TAPER\CAP-C31-SEAM-TAPER.zip,a80B6.tmp,CAP-C31-SEAM-TAPER,0,7,2,3,2,3,1,0,1,120291,79669,0,984.0,0.0984,2.50,0.0984,0
CAP-C31-SEAM-TAPER\CAP-C31-SEAM-TAPER.zip,a80B6.tmp,CAP-C31-SEAM-TAPER,1,5,2,2,0,-1,1,0,0,29581,39343,1,29580.0,2.9580,75.13,2.9580,1
CAP-C31-SEAM-TAPER\CAP-C31-SEAM-TAPER.zip,a80B6.tmp,CAP-C31-SEAM-TAPER,1,5,2,2,1,-1,1,0,0,88742,39343,1,29581.0,2.9581,75.14,3.9342,1
CAP-C40-NOTCH-TYPES\CAP-C40-NOTCH-TYPES.ZIP,a6EAB.tmp,CAP-C40-NOTCH-TYPES,0,5,2,2,0,-1,1,0,0,980114,525876,1,69284.0,6.9284,175.98,,1
